id,price,rooms,floor,full_area,living_area,kitchen_area,num_storeys,typical_panel,concrete_monolithic,old_brick,first_rental,adjacent_separate,ukrainian_brick,eurorenovation,satisfactory_condition,multilevel,kitchen_living_room,penthouse,old_panel,good_condition,pre_revolutionary,gas_block,repair_in_progress,free_planning,adjacent,separate,ukrainian_panel,Stalinka,excellent_condition,studio,designer_renovation,safe,shower_cabin,wardrobe,TV,hair_dryer,dishes,satellite_TV,DVD_player,washing_machine,fireplace,dishwashers,alarms,bed,counters,air_conditioning,refrigerator,jacuzzi,microwave,iron,cable_TV,lat,lon,district_lat,district_lon,min_dist_to_subway,dist_to_center,full_area_log,floor_other,num_storeys_other,living_area_log,kitchen_area_log,last_floor,first_floor,full_area|kitchen_area_log,dist_to_center|full_area_log,dist_to_center|full_area_log|kitchen_area,subway,district,needs_repairs
10804271,11500,2,5,51.0,32.0,6.0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4159924,30.5192009,50.44582665,30.53806236407185,0.4657769407980278,3.846107780232277,3.951243718581428,5,9,3.4657359027997265,1.9459101490553128,False,False,26.208815460857288,0.9733916847865572,1176.9089807510768,либідська,Печерський,0
10822648,57000,2,6,75.0,60.0,8.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,50.4657252,30.43472266288071,50.467421,30.463848,1.2142066957973323,6.333609980364863,4.330733340286331,6,6,4.0943445622221,2.19722457733622,True,False,34.1339709985064,1.4624797886877303,3800.165988218918,сирець,Шевченківський,0
10822515,12900,2,3,54.0,30.0,11.0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.407485,30.5097445,50.4398558,30.4886551,0.5659951422388412,4.853698661215975,4.007333185232471,3,9,3.4011973816621555,2.4849066497880004,False,False,21.731198636619613,1.2112041691722732,2883.097004762289,деміївська,Солом'янський,0
10822531,14500,1,2,56.0,20.0,15.0,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,50.43083055,30.48649984343364,50.4398558,30.4886551,1.2215414830888716,3.273058002088208,4.04305126783455,2,25,2.995732273553991,2.772588722239781,False,False,20.19773057244549,0.8095514464849344,2749.3687217540946,вокзальна,Солом'янський,0
10523789,14000,3,5,76.0,45.0,11.0,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,50.5198546,30.4847243,50.5079205,30.520662466796946,0.9230345588879549,8.120370841917257,4.343805421853684,5,24,3.80666248977032,2.4849066497880004,False,False,30.584649933020195,1.869414039833293,6788.630023842827,героїв дніпра,Оболонський,0
10819201,14000,2,8,55.0,34.0,9.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4044505,30.63947426019117,50.429108,30.6424672,0.8248068181927266,9.876542105350374,4.02535169073515,8,16,3.5263605246161616,2.302585092994046,False,False,23.88619650467885,2.4535848949751324,4888.888342148436,харківська,Дарницький,0
10822536,15000,1,5,50.0,20.0,14.0,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,50.4398558,30.4886551,50.4398558,30.4886551,0.21641605974687894,2.5678877813370207,3.9318256327243257,5,14,2.995732273553991,2.70805020110221,False,False,18.46346865344276,0.6531031691651481,1797.5214469359144,вокзальна,Солом'янський,0
10822523,14000,1,18,56.0,25.0,12.0,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.407485,30.5097445,50.4398558,30.4886551,0.5659951422388412,4.853698661215975,4.04305126783455,18,25,3.218875824868201,2.5649493574615367,False,False,21.83278973407168,1.2005038619793722,3261.685500337136,деміївська,Солом'янський,0
10822502,12000,1,11,30.0,18.0,6.0,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,50.4368729,30.4149674,50.4398558,30.4886551,2.497426818017497,7.662484317399811,3.4339872044851463,11,16,2.8903717578961645,1.9459101490553128,False,False,15.41695027109252,2.2313665896575867,1379.247177131966,берестейська,Солом'янський,0
10806063,28500,3,13,108.0,68.0,15.0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.433698,30.5375803,50.44582665,30.53806236407185,0.5344391466706104,2.226168517466092,4.691347882229144,13,26,4.219507705176107,2.772588722239781,False,False,38.952766104002016,0.4745264204129549,3606.392998295069,кловська,Печерський,0
